PRO,16
RNA,16
CAR,16
HAS,16
SY,16
UAL,16
FDX,15
FRO,15
GS,15
ICE,15
MFA,15
ROK,15
EDI,15
TAK,15
TEL,15
BK,15
THR,15
WD,15
AAL,15
EMB,15
VG,15
XP,15
ADS,14
IRS,14
MOD,14
NNA,14
SEE,14
SHOP,14
SNE,14
SPR,14
TDOC,14
THO,14
TOL,14
WOW,14
RING,14
MRNA,14
PYPL,14
PDD,14
REAL,14
LOV,13
GGO,13
ASA,13
ASH,13
BRO,13
DEA,13
OMI,13
SNA,13
WY,13
ENPH,13
IONS,13
YY,13
LMFA,13
LOVE,13
ULTA,13
WB,13
DAL,12
ESE,12
LH,12
GF,12
NCLH,12
SOL,12
SNAP,12
STON,12
TRI,12
IDE,12
TEAM,12
CHI,12
VIDI,12
MARK,12
SRNE,12
ARI,11
BG,11
CM,11
CHGG,11
JE,11
LB,11
VAC,11
MOS,11
NYC,11
NEE,11
NVO,11
NUS,11
PCG,11
PAR,11
SAP,11
TTI,11
TUP,11
ADBE,11
EDIT,11
KC,11
PENN,11
RETA,11
SSSS,11
AUG,10
UUU,10
LW,10
LEG,10
MET,10
NEX,10
OKE,10
PINS,10
PER,10
UNFI,10
CSCO,10
DLTR,10
ROCK,10
NEXT,10
OMP,10
PTI,10
RXT,10
WEN,10
FREE,10
WW,10
NES,9
REI,9
AGI,9
ACC,9
AMN,9
ARES,9
AHH,9
ARR,9
MUC,9
BP,9
CEL,9
EXP,9
HP,9
JNJ,9
PING,9
PPT,9
NX,9
RTX,9
RF,9
SUP,9
AMAT,9
CHW,9
GNUS,9
PID,9
ROKU,9
JOB,8
PED,8
ALLE,8
ACH,8
ARL,8
AMP,8
CIA,8
DRE,8
ESTE,8
EMP,8
FSD,8
HIG,8
HSBC,8
IBM,8
KF,8
LC,8
MAS,8
IRL,8
ORC,8
PUMP,8
REV,8
RST,8
TAC,8
ADI,8
BLI,8
APPS,8
EH,8
HUGE,8
HAPP,8
MNTA,8
NVAX,8
SJ,8
SWBI,8
CFO,8
FEN,7
DDD,7
AYX,7
ARA,7
ABC,7
AZZ,7
MPA,7
CAT,7
CHWY,7
CVA,7
ESTC,7
ESI,7
FN,7
ITT,7
MGM,7
NYT,7
NR,7
ORCL,7
RCL,7
CRM,7
STC,7
BX,7
PAI,7
APA,7
BYND,7
TECH,7
CARE,7
COMM,7
EAST,7
EXPI,7
FAT,7
GOOD,7
DAX,7
INO,7
ITI,7
OPGN,7
SBUX,7
TLRY,7
TOPS,7
AE,6
AIM,6
IGC,6
ALK,6
BEST,6
CTL,6
CVX,6
CLH,6
CCI,6
DVA,6
ETH,6
FIT,6
FET,6
GIL,6
GGG,6
HAL,6
HEI,6
HTZ,6
HIL,6
MMI,6
PB,6
LUV,6
STL,6
COO,6
TJX,6
TSE,6
TWO,6
WAT,6
API,6
LIFE,6
ADSK,6
BIGC,6
COST,6
CRWD,6
DDOG,6
JACK,6
NH,6
OSS,6
RUN,6
STRO,6
HEAR,6
AGE,5
CTO,5
ELLO,5
SILV,5
TAT,5
AIR,5
AIT,5
AZN,5
BW,5
SAN,5
BRK.A,5
BILL,5
BEP,5
CX,5
COP,5
CW,5
UAN,5
EARN,5
ENS,5
ELS,5
AGM,5
RESI,5
FUL,5
HOG,5
HL,5
HUN,5
IFF,5
KEY,5
LDOS,5
MPC,5
MSM,5
SID,5
NKE,5
NTR,5
OIS,5
PK,5
PSA,5
PSTG,5
SIG,5
SPG,5
SPE,5
STG,5
TRU,5
TWTR,5
UNF,5
UTI,5
WEA,5
CRUS,5
CVAC,5
FANG,5
DPHC,5
DDI,5
ENG,5
ETSY,5
FAST,5
FCEL,5
LAND,5
IAC,5
JAN,5
JAZZ,5
LWAY,5
LIVE,5
LVGO,5
NTRA,5
PTE,5
RIGL,5
SPI,5
RTH,5
VIAC,5
VC,5
ZI,5
APT,4
EMAN,4
UUUU,4
ESP,4
EVI,4
PW,4
ALE,4
ATO,4
AZO,4
AVA,4
BMI,4
BH,4
BOE,4
BSE,4
BOX,4
BEPC,4
ELY,4
CWH,4
CCL,4
CMG,4
CNK,4
CIR,4
CTS,4
DAN,4
EFT,4
EPC,4
ERF,4
FLY,4
GNRC,4
GAM,4
GER,4
HPQ,4
IDA,4
KB,4
KW,4
KEYS,4
MCC,4
MOV,4
NM,4
NAT,4
NUM,4
NOM,4
POST,4
RIV,4
RYI,4
SEM,4
SIX,4
SJW,4
SCA,4
INN,4
TOT,4
TWLO,4
URI,4
GRA,4
WELL,4
WAL,4
WIW,4
WWW,4
JOBS,4
ALKS,4
CTXS,4
PLAY,4
EXC,4
STAY,4
FLUX,4
GILD,4
GLDD,4
HALL,4
HOPE,4
IDN,4
PIE,4
NRC,4
PZZA,4
PROF,4
SIC,4
MIK,4
SMH,4
WING,4
XSPA,4
AMBO,3
FTF,3
GV,3
IMH,3
ZOM,3
AMG,3
ACI,3
AIG,3
BUD,3
ARC,3
ARCH,3
ADM,3
AGR,3
BKR,3
BRK.B,3
FRA,3
CRS,3
CBO,3
EMO,3
CEM,3
UTF,3
CTB,3
CORR,3
CVS,3
ENO,3
FTCH,3
FLS,3
FTS,3
FCX,3
AVAL,3
GSX,3
HON,3
IRT,3
VTA,3
NVTA,3
JT,3
JMIA,3
KEN,3
KIM,3
KOS,3
KRA,3
LAC,3
MHO,3
MIC,3
MCD,3
MAA,3
MFG,3
EDD,3
NGG,3
NOV,3
NNN,3
NGS,3
NEM,3
NGL,3
NAN,3
NXR,3
NVT,3
OXY,3
OMF,3
PAM,3
PIC,3
PRA,3
RIO,3
RMI,3
OPP,3
SON,3
SPAQ,3
STM,3
RGR,3
TDF,3
TRV,3
TRQ,3
WTI,3
WSO,3
XRX,3
AKER,3
JG,3
AUTO,3
BBQ,3
BBBY,3
BLU,3
BMRN,3
BEAT,3
CHY,3
CSIQ,3
CTAS,3
TACO,3
BOOM,3
DBX,3
ELSE,3
ENTA,3
EQ,3
FTC,3
FORM,3
DRIV,3
HONE,3
HEC,3
INVE,3
IEC,3
INFI,3
NTEC,3
IBKR,3
INTU,3
IVA,3
PHO,3
SDG,3
JAMF,3
KTOS,3
LITE,3
